Site,geo_point,Geo Shape,Shape__Length
Arena Champ-de-Mars,"48.8502635851331, 2.29966399662573","{""coordinates"": [[2.29819483341959, 48.8492909315101], [2.30113315983187, 48.8512362387561]], ""type"": ""LineString""}",463.99338497225466
YDM,"48.929721732794434, 2.25514301834862","{""coordinates"": [[2.26083005737376, 48.9324760183825], [2.26049558623289, 48.9319225050411], [2.26003236905933, 48.9313548886735], [2.25912545869458, 48.9310854464085], [2.25785061006754, 48.9307239455515], [2.25659755277266, 48.93026938199], [2.25601460903535, 48.9300832601152], [2.25513202055691, 48.9298685033345], [2.25495223443089, 48.9298541862222], [2.25476155174047, 48.9294819386834], [2.2544292191028, 48.928894927401], [2.25408658728038, 48.9282421106155], [2.25365559267507, 48.9283651794151], [2.25232081474047, 48.9287159594185], [2.25134560995625, 48.9286014191718], [2.2495172814349, 48.9283646694866], [2.24915944382968, 48.928328602655], [2.24914219707453, 48.9285113286063]], ""type"": ""LineString""}",1722.9009339644174
La Concorde,"48.87146875218773, 2.330117926141881","{""coordinates"": [[2.32975937413892, 48.8703537195673], [2.33036815522045, 48.8715974240715], [2.33023999976537, 48.8718858171211], [2.33038979114408, 48.8720187184251], [2.32977946855352, 48.8723543823387]], ""type"": ""LineString""}",388.5392495515581
BCY,"48.83872664261635, 2.381125501573135","{""coordinates"": [[2.38107637405772, 48.8386862729877], [2.38117462908855, 48.838767012245]], ""type"": ""LineString""}",17.495962178329794
Parc des Princes,"48.84110323856969, 2.2550218815938528","{""coordinates"": [[2.25450556512215, 48.8424641372975], [2.25473056884631, 48.8413518886292], [2.25506717207484, 48.8410065642309], [2.25573314978884, 48.8398113918625]], ""type"": ""LineString""}",474.4977422737095
EIF,"48.85479386892011, 2.2893634811037313","{""coordinates"": [[2.2890307086762, 48.8543264197424], [2.28892904274223, 48.8544543902992], [2.2890668074759, 48.8545086816531], [2.28908006750779, 48.8545140136728], [2.28909406505656, 48.8546734916923], [2.2891883648052, 48.8547452328154], [2.28934307446005, 48.8548441190278], [2.28948894469253, 48.8548984087769], [2.28968749752312, 48.8549084633472], [2.28981330029047, 48.8552932981251]], ""type"": ""LineString""}",218.54296475031137
Site d’escalade du Bourget,"48.933649860040475, 2.4220377324169853","{""coordinates"": [[2.42550083166849, 48.9309257404067], [2.42555340557052, 48.931074998754], [2.42557781459342, 48.9311551788249], [2.42556091548629, 48.931224256655], [2.42550834248259, 48.9312711313695], [2.42544450280863, 48.9313439099316], [2.42532808923264, 48.931573346428], [2.42513469363006, 48.9319693078192], [2.42492252144141, 48.9323887020118], [2.42480047542861, 48.9326502051136], [2.42473475827569, 48.9327735551689], [2.42471598168962, 48.9328364631845], [2.42471034925279, 48.9328771688147], [2.42471410421066, 48.9329178738216], [2.42471973754582, 48.9329363765158], [2.42440429503211, 48.9330560250989], [2.42419963365756, 48.9331436029164], [2.42390296772992, 48.9332583174563], [2.42382786228396, 48.9332866877035], [2.42349364408252, 48.9333791992418], [2.42302986995245, 48.9335087143991], [2.42239522996717, 48.9336826349161], [2.42151274389667, 48.9339058938116], [2.42058894969615, 48.9341439526792], [2.42005945751485, 48.9342821005636], [2.419959943046, 48.9343104702291], [2.41986793939124, 48.9343277390468], [2.41971960687658, 48.934362275484], [2.4195262103757, 48.9343931124115], [2.41935159135917, 48.9344017465117], [2.41919199217422, 48.9344005131532], [2.41900422900847, 48.9343807776428], [2.41889720462384, 48.9343610421245], [2.41885777397278, 48.9343536413769], [2.41885026315868, 48.9343807776428], [2.41881271088485, 48.9344066799454], [2.41880144511289, 48.9344436836331], [2.41886152893065, 48.9345349596721], [2.41917755804423, 48.9349679002835], [2.41937412290314, 48.9352377157916], [2.41958810429874, 48.9355573257097], [2.41909284062476, 48.9357238072694]], ""type"": ""LineString""}",1351.2709715935541
Invalides,"48.860176166742875, 2.3103382929350795","{""coordinates"": [[2.31013805369958, 48.8579901208463], [2.31015737376639, 48.8581651293706], [2.31029734206744, 48.8598506521819], [2.31031652199706, 48.8600363678911], [2.31042746752792, 48.8610542602171], [2.31043635006945, 48.8612006530109], [2.31054691291798, 48.8623614467534]], ""type"": ""LineString""}",741.0712700037087
Invalides,"48.86242188632677, 2.3179771791833783","{""coordinates"": [[2.3203665859349, 48.8612690403805], [2.31970271566859, 48.8618799955926], [2.3196654185163, 48.8619977689989], [2.31946774962793, 48.862013717749], [2.31948453285236, 48.8621229045278], [2.31930364629013, 48.8623228732227], [2.31821646560742, 48.8626541078446], [2.31801972917029, 48.862700726006], [2.31527007501884, 48.8627620657814], [2.3152626154087, 48.8626945917288]], ""type"": ""LineString""}",701.9132254290047
GRPouLCO,"48.86835073890474, 2.3116505163828753","{""coordinates"": [[2.30924655034025, 48.8687398762214], [2.30968275786919, 48.8684854047156], [2.31018901243069, 48.8683883837525], [2.31064915377373, 48.8685052519442], [2.31102153959498, 48.8687120348031], [2.31361394006271, 48.8679349730739], [2.31408411289253, 48.8677462866173]], ""type"": ""LineString""}",611.2066816580445
GRP,"48.86522332367933, 2.313784075003819","{""coordinates"": [[2.31363483667285, 48.8674779974369], [2.31382396168457, 48.8672468258808], [2.31391643066663, 48.8672092837211], [2.31365526436242, 48.8628528871604]], ""type"": ""LineString""}",794.2892801723057
EIF,"48.8575151220141, 2.29908495067842","{""coordinates"": [[2.29820328836304, 48.8573816170422], [2.2999666129938, 48.857648626986]], ""type"": ""LineString""}",201.42407649242165
Arena Champ-de-Mars,"48.852899237619525, 2.3034979072853967","{""coordinates"": [[2.30539008641877, 48.8540774765388], [2.30470812947254, 48.8537019466074], [2.30163181464609, 48.8516777416775]], ""type"": ""LineString""}",583.2955017338627
EIF,"48.863805592243416, 2.3019714185309534","{""coordinates"": [[2.30174643877803, 48.8649032800364], [2.30191818228731, 48.8648715628381], [2.30202557767614, 48.8649316772888], [2.30239650822663, 48.8648386595921], [2.30232637315914, 48.8646895295344], [2.30198859134095, 48.8646637642253], [2.30195451644558, 48.8641787357158], [2.30190193535707, 48.8640654007838], [2.30206778681639, 48.8626504207743], [2.30131958540614, 48.8625878410025]], ""type"": ""LineString""}",570.3368372580356
DEF,"48.892745579347164, 2.234196255422271","{""coordinates"": [[2.2380149462115, 48.8917842536619], [2.23754996654233, 48.8919240094683], [2.23721783782224, 48.8919589485065], [2.23654029519728, 48.8916969057154], [2.23612845626707, 48.8918453971337], [2.23510550063561, 48.8921423774659], [2.23464076979977, 48.8924238463621], [2.23427300581066, 48.8925000486531], [2.23400776923986, 48.8925777161509], [2.23390301220301, 48.8926978813563], [2.23389409642382, 48.892857612152], [2.23382500160544, 48.8929763107828], [2.23353970475603, 48.8930891473091], [2.23296911285387, 48.8932371538357], [2.23257014318841, 48.8933734363465], [2.23211099448377, 48.893519976736], [2.23185913203092, 48.8936372085021], [2.23164293089823, 48.8937954704188], [2.23042774837237, 48.8941954916782]], ""type"": ""LineString""}",1010.1121522030277
VER,"48.80530214545407, 2.084253705530353","{""coordinates"": [[2.08390746352587, 48.8105359967242], [2.08369077460798, 48.802653651842], [2.08695363448461, 48.8018737926668]], ""type"": ""LineString""}",1718.916071228839
