Site,Geo Point,Geo Shape,Shape Length,Nom français
GRX,"48.867204241729425, 2.3103722708587764","{""coordinates"":[[2.31053643766346,48.868863774688],[2.31031113210535,48.8684897378033],[2.31041842059469,48.8654902886363]],""type"":""LineString""}",575.8173741695667,Grand Palais-Pont Alexandre III
GRX,"48.8673942606686, 2.3104666642424183","{""coordinates"":[[2.31111579442783,48.868955518611],[2.31034331874198,48.8684756235059],[2.31042914917412,48.8655044043667]],""type"":""LineString""}",621.1837453904983,Grand Palais-Pont Alexandre III
HDV,"48.856363971992835, 2.350753526907594","{""coordinates"":[[2.35087759057387,48.8560473864314],[2.35062369523353,48.856184444677],[2.35088596197398,48.8567674200283]],""type"":""LineString""}",139.42386359604177,Hôtels et Villages
HDV,"48.85463974308153, 2.355128425115878","{""coordinates"":[[2.3574739814036,48.8537855305918],[2.35383690597971,48.8551903295215],[2.35361160042248,48.8550067901915],[2.35281766655414,48.8553385723353]],""type"":""LineString""}",614.0981260172364,Hôtels et Villages
HDV,"48.85647964616195, 2.35073883140518","{""coordinates"":[[2.35055933184173,48.8561851840778],[2.35091833096863,48.8567741082461]],""type"":""LineString""}",107.35677897030101,Hôtels et Villages
HDV,"48.85449270334403, 2.3551158621436024","{""coordinates"":[[2.35591336014788,48.8543103295279],[2.35518086039046,48.8546082178012],[2.35497142626683,48.8543988120161],[2.35431937468568,48.8546529888611]],""type"":""LineString""}",222.6388137102827,Hôtels et Villages
HDV,"48.85474355039145, 2.354924781942367","{""coordinates"":[[2.35704482796125,48.8540114305669],[2.3538154483076,48.8552185662818],[2.35359014275036,48.8549856125332],[2.35287131073443,48.855324453991]],""type"":""LineString""}",558.607661228012,Hôtels et Villages
HDV,"48.85427633699189, 2.3558567196760634","{""coordinates"":[[2.35744312811444,48.8537005780133],[2.35516093388061,48.8546375824222],[2.35493559219753,48.8544174635163],[2.35430499828848,48.8546786995312]],""type"":""LineString""}",427.30888140311947,Hôtels et Villages
HDV,"48.85430819628538, 2.3558774088269985","{""coordinates"":[[2.35720447632389,48.8538707531966],[2.35521664412229,48.8546155519229],[2.35492895498699,48.8544200194486],[2.35456978021534,48.8545404320194]],""type"":""LineString""}",345.564060390888,Hôtels et Villages
HDV,"48.854236118801964, 2.3560123083230566","{""coordinates"":[[2.35774909754127,48.853619119591],[2.35520040819694,48.8546227286778],[2.35492754762435,48.8544493538939],[2.35428047739412,48.8546640901627]],""type"":""LineString""}",453.54636825085186,Hôtels et Villages
HDV,"48.85440051574037, 2.355488308749556","{""coordinates"":[[2.3566857489055,48.8540468642268],[2.35519700877771,48.8546007199419],[2.35498664182076,48.8543895503231],[2.35432245669322,48.8546711550014]],""type"":""LineString""}",321.0577647347412,Hôtels et Villages
HDV,"48.85455243754228, 2.3547899636881957","{""coordinates"":[[2.35521650671245,48.8546336875921],[2.35494345839197,48.8544532543104],[2.35433930235105,48.8546608083547]],""type"":""LineString""}",118.94843060351086,Hôtels et Villages
IBC,"48.94398628270891, 2.42319327574844","{""coordinates"":[[2.42326122476569,48.9446298775236],[2.42312532673119,48.9433426878942]],""type"":""LineString""}",218.6877835501281,Centre international de radio-télévision
IBC,"48.943067863028006, 2.423001945372695","{""coordinates"":[[2.4228410126387,48.9427824679908],[2.42316287810669,48.9433532580652]],""type"":""LineString""}",103.16261640397995,Centre international de radio-télévision
IBC,"48.94374552398065, 2.422725677490225","{""coordinates"":[[2.42225092639656,48.9441307433134],[2.42320042858389,48.9433603046479]],""type"":""LineString""}",167.99761494970028,Centre international de radio-télévision
INV,"48.861314190208894, 2.311395466698899","{""coordinates"":[[2.31098240524786,48.862438861939],[2.31127745202088,48.8624347188302],[2.31155819455226,48.8623788161322],[2.31139225544813,48.8610541307902],[2.31129812188782,48.8600333537795],[2.31160403776794,48.8600371468321]],""type"":""LineString""}",497.5132777732019,Invalides
INV,"48.859651861486896, 2.311883931208712","{""coordinates"":[[2.31094658353205,48.8623544349204],[2.3115012898637,48.8624190809381],[2.31140825534166,48.8610436058441],[2.3110890021745,48.8582181259044],[2.31217806662436,48.8584174139771],[2.31429915070692,48.8582836278381],[2.3142740176419,48.8583474547292]],""type"":""LineString""}",1149.2757557905734,Invalides
INV,"48.8604428793665, 2.3113204796498876","{""coordinates"":[[2.31100888066567,48.8624079587439],[2.31156866852341,48.8624031398368],[2.31139762108532,48.8610400758586],[2.31109820451627,48.8583627468351],[2.31141927138197,48.8583308204069],[2.31144297253242,48.8584152662054]],""type"":""LineString""}",798.6621368452143,Invalides
INV,"48.85956592336204, 2.3123891620233046","{""coordinates"":[[2.31095042199337,48.8624011864346],[2.31154046999065,48.8623716650258],[2.31139413810481,48.8612737748139],[2.31111839759071,48.8581874137727],[2.31208264788742,48.8583992562299],[2.31432012573607,48.8582536564632],[2.31454182852908,48.8600486033293],[2.31431109133219,48.8600289032411]],""type"":""LineString""}",1469.5490174282609,Invalides
INV,"48.863942660102595, 2.3138696037557995","{""coordinates"":[[2.31451284643828,48.8650624377591],[2.31397640399165,48.865048321904],[2.31396209921907,48.8645872098588],[2.31384765834344,48.864399000086],[2.31364023375108,48.8623804016753]],""type"":""LineString""}",514.4696664454784,Invalides
INV,"48.86049080662687, 2.311306189815188","{""coordinates"":[[2.31088940768043,48.8623859932832],[2.31157267385004,48.8623942989012],[2.31137607139995,48.8610578451637],[2.31110883787431,48.8583590949099],[2.31141927138197,48.8583308204069],[2.31143751526709,48.8584117986827]],""type"":""LineString""}",809.6140119639332,Invalides
INV,"48.85956382091681, 2.3124693825956335","{""coordinates"":[[2.31083969028859,48.8624148520154],[2.31154620320698,48.8624042739137],[2.31140308194391,48.8610790812096],[2.31108391771,48.8581989607746],[2.31210137026204,48.8584171876159],[2.3146914908056,48.8582863033989],[2.3148788461362,48.8599245495497],[2.31467560230317,48.8599348075976]],""type"":""LineString""}",1501.064541111486,Invalides
LBO,"48.93758889409731, 2.420031782033979","{""coordinates"":[[2.41936053947773,48.9377050409659],[2.4194624641265,48.9377755164933],[2.42071773756519,48.9373738053036]],""type"":""LineString""}",171.91069582850074,Site d'escalade du Bourget
LBO,"48.93848521990878, 2.4185893138063403","{""coordinates"":[[2.42036512545994,48.93908010272],[2.42063215506804,48.9389548162961],[2.42055586025266,48.9389140985094],[2.41984060455546,48.9390863674755],[2.41892984580801,48.9389140985094],[2.41836240968745,48.9386791850565],[2.41759947051665,48.938190562005],[2.41685613078869,48.9374606007616],[2.41710408646839,48.9373603683956],[2.41696103514927,48.9372382098536]],""type"":""LineString""}",638.4234567803644,Site d'escalade du Bourget
lbo,"48.93722570801776, 2.4166514949383173","{""coordinates"":[[2.41641541641198,48.9372661181592],[2.41644974822552,48.9371054317234],[2.41679307085238,48.9373168605467],[2.41698618977386,48.9372576604012],[2.41698618977386,48.9372576604012]],""type"":""LineString""}",103.60863453139216,Site d'escalade du Bourget
LBO,"48.937119073981094, 2.420696628663255","{""coordinates"":[[2.4205772009501,48.9369225148011],[2.42081605637641,48.9373156331611]],""type"":""LineString""}",71.73004323067993,Site d'escalade du Bourget
lbo,"48.93721144590198, 2.4166570733770754","{""coordinates"":[[2.41637303659185,48.9371942286455],[2.41648032508116,48.93709203841],[2.41678609723084,48.9373140381499],[2.41696312283399,48.9372470859888],[2.41696848757286,48.937243561971]],""type"":""LineString""}",95.35499077467888,Site d'escalade du Bourget
