 Site,Geo Point,Geo Shape,Shape__Length
ELA,"48.79005462191968, 1.970866571180174","{""coordinates"":[[1.96789830548917,48.7922304244024],[1.96779530016712,48.7922650247132],[1.96767692646717,48.7922503296743],[1.96759027677151,48.7923981066149],[1.96732717280119,48.7923211890637],[1.96714883475942,48.7922264113898],[1.96689792362247,48.7921596104537],[1.96662617246923,48.7921088183184],[1.96646070099728,48.7919541601928],[1.96660385382601,48.7918746788465],[1.96675149373957,48.7918167172691],[1.97220788323319,48.7901099845226],[1.97241800366974,48.7901173569168],[1.97258333859779,48.790012018042],[1.97291534335038,48.7899167270325],[1.97307799321404,48.7900107462022],[1.97336538313803,48.7900340417558],[1.97371028679981,48.7899431279589],[1.97384142196666,48.7897258047591],[1.97391104589277,48.7895990406942],[1.9737275371482,48.789416247259],[1.97341547319828,48.7893649102245],[1.97321014707041,48.789292175271],[1.97328003330457,48.7891464570673],[1.97340390918564,48.7890288407976],[1.97364117221849,48.7888897492749],[1.97384793565078,48.788652291696],[1.97387598105397,48.7885201284655],[1.9737759850881,48.7882639915626],[1.97347458234399,48.7880120537275],[1.97332185437264,48.7880778895492],[1.97289727194181,48.7877925506488],[1.97261324531022,48.7875597546747],[1.9724564641403,48.7874142451013],[1.9722981782923,48.7871409243395],[1.97188748201914,48.7871304957213],[1.9714385031418,48.7871392671244]],""type"":""LineString""}",1831.282771043714
ELA,"48.79156773813913, 1.9647521437192426","{""coordinates"":[[1.96390064077809,48.7916485022606],[1.96393910394362,48.7916996422537],[1.96425028934118,48.7916071868511],[1.96493629768935,48.7914012005135],[1.96506702412276,48.7913601245845],[1.96525544036373,48.7916398452731],[1.96536842327364,48.7917981575957],[1.96550541365951,48.7917500341491]],""type"":""LineString""}",246.24363434121767
GRX,"48.866170467938325, 2.3104128399385377","{""coordinates"":[[2.31023938276531,48.8667205257472],[2.31037885789125,48.8667311121374],[2.31047005306229,48.8654854364454],[2.31047005306229,48.8654854364454]],""type"":""LineString""}",226.67262127810923
GRX,"48.86739530047485, 2.3131947588869286","{""coordinates"":[[2.31121166982148,48.8686490383445],[2.3139877560019,48.8677756903504],[2.31400116695077,48.8675551453857],[2.31369271332998,48.8651908447591]],""type"":""LineString""}",781.4804925332734
INV,"48.86263032812249, 2.3098710645697533","{""coordinates"":[[2.30589821396766,48.8624929349266],[2.31041773607843,48.8625811618352],[2.31173201805149,48.8628193738886],[2.31342181018636,48.8628370190495],[2.3133949873903,48.8623958846157]],""type"":""LineString""}",917.9245084925138
INV,"48.858863971192044, 2.314866112897124","{""coordinates"":[[2.31500007647873,48.857672010509],[2.31499471173983,48.8580496572653],[2.31470503290848,48.8581343629979],[2.31498398316039,48.8599413771915],[2.31471039764738,48.8599343188377]],""type"":""LineString""}",436.9875122059072
LBO,"48.93487976383644, 2.4193227600316383","{""coordinates"":[[2.41973125353264,48.9345477657618],[2.41898662892809,48.934467311856],[2.41893568092883,48.9344653809607],[2.4188925710833,48.9344911262257],[2.41893862023648,48.9345554893299],[2.41970675930223,48.9355878621815],[2.41957155115035,48.9356226175045]],""type"":""LineString""}",319.10882141196
LBO,"48.937280709800255, 2.416466562499083","{""coordinates"":[[2.41630023728207,48.9371849028266],[2.41628540519815,48.937252228817],[2.41636378673547,48.9373384705875],[2.41672238226871,48.937236782514]],""type"":""LineString""}",72.02926622624831
LCO,"48.86864189686388, 2.3237332489793694","{""coordinates"":[[2.32473674937591,48.8705917401958],[2.32517960506178,48.8704319151248],[2.3244633937645,48.8693666164284],[2.32438305268875,48.8692235437325],[2.32408324330849,48.8691539406514],[2.32353751185489,48.8683779886359],[2.32356298585452,48.8683502758414],[2.3235139973937,48.8682587590621],[2.32337389039573,48.8682671373657],[2.3232945290892,48.8681923770681],[2.32247544202419,48.8671122071988],[2.32228340725775,48.8668331380426],[2.32239706048687,48.8667867337826],[2.32231671941111,48.8666449427215],[2.32245780617829,48.8666011163122]],""type"":""LineString""}",826.2291643516575
LCO,"48.86427602266872, 2.3285293872840587","{""coordinates"":[[2.33341231395297,48.8633963712066],[2.33215167577542,48.863793384199],[2.3318566322052,48.8633169682302],[2.32513769920728,48.8653990483403],[2.32466831240335,48.8648079581888],[2.32476218994379,48.864525644214],[2.32458784581178,48.8642521509768],[2.32407822616121,48.8641109923252]],""type"":""LineString""}",1342.9062060292742
LCO,"48.86577548355565, 2.3259154615315576","{""coordinates"":[[2.32417522983885,48.8664279741198],[2.32415820317096,48.8663928760117],[2.32716891043893,48.8654124325142],[2.32706995831546,48.8651206266908],[2.32741494102895,48.864979017235]],""type"":""LineString""}",476.0644568419349
LCO,"48.86315030430594, 2.324822765531123","{""coordinates"":[[2.32369467068772,48.8628881904536],[2.32513501683785,48.8624735249977],[2.32575192497776,48.8633116749698],[2.32396825530244,48.8639116051845],[2.32402189999627,48.8640262967068]],""type"":""LineString""}",575.907568504941
LGN,"48.75513418617817, 2.0701015370405202","{""coordinates"":[[2.06887739699524,48.7573855764355],[2.06950329720873,48.7573134331641],[2.0693404830807,48.756680855408],[2.06932847220241,48.7566175092134],[2.06999701452032,48.756445184725],[2.07033714273804,48.7563498738091],[2.07053319016733,48.7562988973752],[2.07072997062191,48.756254614236],[2.07086886734403,48.75632805128],[2.07101048663736,48.7563699395918],[2.07126489269233,48.7564037152169],[2.07129692170112,48.7564204316527],[2.07138366693327,48.7563949170906],[2.07145272948348,48.7563861189627],[2.07153146746343,48.7563588447565],[2.07156649919179,48.7563394888592],[2.0716719280124,48.7563012169494],[2.07168060253562,48.7562391899993],[2.07179363700373,48.7561115847719],[2.07178618008855,48.7559826837311],[2.07171640794046,48.7558436765217],[2.07152788210504,48.7557114209776],[2.07124622612747,48.7556516806131],[2.07117481545227,48.755574964957],[2.06841543164795,48.7519531966052],[2.06853868140325,48.7519136052146]],""type"":""LineString""}",1335.186533331856
LGN,"48.755502521951826, 2.074042818714977","{""coordinates"":[[2.07327954840003,48.7560783797002],[2.07308870401287,48.7557388905178],[2.07425266639785,48.7554696927592],[2.07491323805048,48.7553091959694],[2.07482119397152,48.7551267692095],[2.07453633011007,48.7551952889604],[2.07446282186869,48.7550943031951]],""type"":""LineString""}",361.9476970451244
NPA,"48.972998736580486, 2.5147892422931144","{""coordinates"":[[2.51392234693182,48.9732999202829],[2.51453133473547,48.9731273599102],[2.51460298035942,48.973005807591],[2.51486200684604,48.9729569695221],[2.51566884679584,48.9727066284477]],""type"":""LineString""}",225.28754542118617
PDP,"48.84016995079925, 2.2524706328062596","{""coordinates"":[[2.25236505570319,48.840132908515],[2.25257620990933,48.8402069930835]],""type"":""LineString""}",26.636894462347485
PDP,"48.843097884117334, 2.254631613062167","{""coordinates"":[[2.25501375917089,48.8438346931567],[2.25492034122857,48.8436116094649],[2.25486829408928,48.8436203923062],[2.2545186440766,48.8427565924904],[2.25446392785324,48.8427038945106],[2.25442122250818,48.8426090380072],[2.25411650207729,48.8424647035384]],""type"":""LineString""}",265.65047786158686
PDP,"48.840771111159995, 2.255370951588907","{""coordinates"":[[2.25613143812364,48.8399411252662],[2.25609473821773,48.8400254466584],[2.25586119336193,48.839983725154],[2.25577644994283,48.8400610197032],[2.25508182081458,48.8412902505077],[2.25504045001155,48.8414948997951],[2.25463741831755,48.8414685501484],[2.25456001487963,48.8414316606196]],""type"":""LineString""}",370.364248893188
