Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Parc Chanot - VAHO,"43.2722284981861, 5.39363854574883","{""coordinates"": [5.39363854574883, 43.2722284981861], ""type"": ""Point""}",
Parc departemental des sports de Marville,"48.94049923474, 2.38509338937834","{""coordinates"": [2.38509338937834, 48.94049923474], ""type"": ""Point""}",Parc départemental des sports de Marville  (PDM) - TF
Parc departemental des sports de Marville,"48.9379228348253, 2.38792683837952","{""coordinates"": [2.38792683837952, 48.9379228348253], ""type"": ""Point""}",Parc départemental des sports de Marville  (PDM) - TA
Parc departemental des sports de Marville,"48.9359899429287, 2.38698506080533","{""coordinates"": [2.38698506080533, 48.9359899429287], ""type"": ""Point""}",Parc départemental des sports de Marville  (PDM) - TX
Parc departemental des sports de Marville,"48.9359868112419, 2.38705658826151","{""coordinates"": [2.38705658826151, 48.9359868112419], ""type"": ""Point""}",Parc départemental des sports de Marville  (PDM) - P2LZ
Parc departemental des sports de Marville,"48.9397363641862, 2.38492276427158","{""coordinates"": [2.38492276427158, 48.9397363641862], ""type"": ""Point""}",Parc départemental des sports de Marville  (PDM) - TA
Parc des Princes,"48.8406530737335, 2.25527559559381","{""coordinates"": [2.25527559559381, 48.8406530737335], ""type"": ""Point""}",Parc des Princes (PDP) - PFR-PARKING
Parc des Princes,"48.8425215608722, 2.24951054856182","{""coordinates"": [2.24951054856182, 48.8425215608722], ""type"": ""Point""}",Parc des Princes (PDP) - TF
Parc des Princes,"48.8423248781965, 2.25021663165778","{""coordinates"": [2.25021663165778, 48.8423248781965], ""type"": ""Point""}",Parc des Princes (PDP) - ENG
Parc des Princes,"48.8402889999941, 2.25640300014002","{""coordinates"": [2.25640300014002, 48.8402889999941], ""type"": ""Point""}",Parc des Princes (PDP) - TAXI
Parc des Princes,"48.8415368760008, 2.25144716270246","{""coordinates"": [2.25144716270246, 48.8415368760008], ""type"": ""Point""}",Parc des Princes (PDP) - TA
Parc des Princes,"48.8415670897319, 2.25142138285046","{""coordinates"": [2.25142138285046, 48.8415670897319], ""type"": ""Point""}",Parc des Princes (PDP) - TA
Parc des Princes,"48.8413870745221, 2.25523348440428","{""coordinates"": [2.25523348440428, 48.8413870745221], ""type"": ""Point""}",Parc des Princes (PDP) - PFR-navettes
Parc des Princes,"48.8418627758657, 2.25205374740312","{""coordinates"": [2.25205374740312, 48.8418627758657], ""type"": ""Point""}",Parc des Princes (PDP) - TF
Parc des Princes,"48.8450659209663, 2.25422984161874","{""coordinates"": [2.25422984161874, 48.8450659209663], ""type"": ""Point""}",Parc des Princes (PDP) - CIR W
Parc des Princes,"48.8406530737335, 2.25527559559381","{""coordinates"": [2.25527559559381, 48.8406530737335], ""type"": ""Point""}",Parc des Princes (PDP) - PMR-Parking
Parc des Princes,"48.8424069998027, 2.24993540228388","{""coordinates"": [2.24993540228388, 48.8424069998027], ""type"": ""Point""}",Parc des Princes (PDP ) - DDS
Parc des Princes,"48.8423096103342, 2.25044198292468","{""coordinates"": [2.25044198292468, 48.8423096103342], ""type"": ""Point""}",Parc des Princes (PDP) - TX
Parc des Princes,"48.8422532009156, 2.25055295721079","{""coordinates"": [2.25055295721079, 48.8422532009156], ""type"": ""Point""}",Parc des Princes (PDP) - P2LZ
Parc des Princes,"48.8423151817903, 2.25029328300823","{""coordinates"": [2.25029328300823, 48.8423151817903], ""type"": ""Point""}",Parc des Princes (PDP) - PHP
Parc des Princes,"48.8424451582799, 2.2497977839756","{""coordinates"": [2.2497977839756, 48.8424451582799], ""type"": ""Point""}",Parc des Princes (PDP) - DDS
Parc des Princes,"48.8450942869088, 2.25431319180236","{""coordinates"": [2.25431319180236, 48.8450942869088], ""type"": ""Point""}",Parc des Princes (PDP) - CIR W
Parc des Princes - Stade Roland-Garros,"48.8383328607163, 2.25229272711649","{""coordinates"": [2.25229272711649, 48.8383328607163], ""type"": ""Point""}",Parc des Princes (PDP) RGA - CIR P
Parc des Princes - Stade Roland-Garros,"48.8457189998276, 2.25784099989063","{""coordinates"": [2.25784099989063, 48.8457189998276], ""type"": ""Point""}",Parc des Princes (PDP) RGA - TAXI
Parc des sports Auguste Delaune,"48.9483131600818, 2.35318900880051","{""coordinates"": [2.35318900880051, 48.9483131600818], ""type"": ""Point""}",Parc des sports Auguste Delaune (ADE) - TX
Parc des sports Auguste Delaune,"48.9483335148504, 2.35318185731252","{""coordinates"": [2.35318185731252, 48.9483335148504], ""type"": ""Point""}",Parc des sports Auguste Delaune (ADE) - P2LZ
Parc des sports Auguste Delaune,"48.9459650445807, 2.35423630236411","{""coordinates"": [2.35423630236411, 48.9459650445807], ""type"": ""Point""}",Parc des sports Auguste Delaune (ADE) - TA
